gene_id	cluster_id	cluster_size	dup_status
Al_scaffold_0005_666	C000001	462	duplicate
Al_scaffold_0006_1229	C000001	462	duplicate
Al_scaffold_0006_1558	C000001	462	duplicate
Al_scaffold_0006_3383	C000001	462	duplicate
Al_scaffold_0006_3427	C000001	462	duplicate
Al_scaffold_0006_3882	C000001	462	duplicate
Al_scaffold_0007_1153	C000001	462	duplicate
Al_scaffold_0007_1825	C000001	462	duplicate
Al_scaffold_0007_2433	C000001	462	duplicate
Al_scaffold_0007_610	C000001	462	duplicate
Al_scaffold_0008_2298	C000001	462	duplicate
Al_scaffold_0008_2459	C000001	462	duplicate
fgenesh1_pg.C_scaffold_1003971	C000001	462	duplicate
fgenesh1_pg.C_scaffold_2000059	C000001	462	duplicate
fgenesh1_pg.C_scaffold_3000662	C000001	462	duplicate
fgenesh1_pg.C_scaffold_4000231	C000001	462	duplicate
fgenesh1_pg.C_scaffold_4002680	C000001	462	duplicate
fgenesh1_pg.C_scaffold_4002682	C000001	462	duplicate
fgenesh1_pg.C_scaffold_4002684	C000001	462	duplicate
fgenesh1_pg.C_scaffold_5001434	C000001	462	duplicate
fgenesh1_pg.C_scaffold_7000729	C000001	462	duplicate
fgenesh1_pg.C_scaffold_7002757	C000001	462	duplicate
fgenesh1_pg.C_scaffold_7003354	C000001	462	duplicate
fgenesh1_pg.C_scaffold_8001364	C000001	462	duplicate
fgenesh1_pm.C_scaffold_1000767	C000001	462	duplicate
fgenesh1_pm.C_scaffold_1003128	C000001	462	duplicate
fgenesh1_pm.C_scaffold_3001901	C000001	462	duplicate
fgenesh1_pm.C_scaffold_3002160	C000001	462	duplicate
fgenesh1_pm.C_scaffold_3002194	C000001	462	duplicate
fgenesh1_pm.C_scaffold_3002203	C000001	462	duplicate
fgenesh1_pm.C_scaffold_7001088	C000001	462	duplicate
fgenesh1_pm.C_scaffold_7002412	C000001	462	duplicate
fgenesh1_pm.C_scaffold_8001295	C000001	462	duplicate
fgenesh2_kg.1__1177__AT1G10850.1	C000001	462	duplicate
fgenesh2_kg.1__1562__AT1G14370.1	C000001	462	duplicate
fgenesh2_kg.1__1817__AT1G16670.1	C000001	462	duplicate
fgenesh2_kg.1__2253__AT1G20650.1	C000001	462	duplicate
fgenesh2_kg.1__2571__AT1G23540.1	C000001	462	duplicate
fgenesh2_kg.1__2617__AT1G24030.2	C000001	462	duplicate
fgenesh2_kg.1__2656__AT1G26970.1	C000001	462	duplicate
fgenesh2_kg.1__4146__AT1G50610.1	C000001	462	duplicate
fgenesh2_kg.1__4268__AT1G51940.1	C000001	462	duplicate
fgenesh2_kg.1__4299__AT1G52290.1	C000001	462	duplicate
fgenesh2_kg.1__4461__AT1G53730.2	C000001	462	duplicate
fgenesh2_kg.1__4529__AT1G55200.1	C000001	462	duplicate
fgenesh2_kg.1__4791__AT1G56720.2	C000001	462	duplicate
fgenesh2_kg.1__738__AT1G07570.2	C000001	462	duplicate
fgenesh2_kg.1__775__AT1G07870.1	C000001	462	duplicate
fgenesh2_kg.1__79__AT1G01540.2	C000001	462	duplicate
fgenesh2_kg.2__1239__AT1G69790.1	C000001	462	duplicate
fgenesh2_kg.2__1296__AT1G70460.1	C000001	462	duplicate
fgenesh2_kg.2__1335__AT1G70740.1	C000001	462	duplicate
fgenesh2_kg.2__1919__AT1G76360.1	C000001	462	duplicate
fgenesh2_kg.2__2147__AT1G78530.1	C000001	462	duplicate
fgenesh2_kg.2__2197__AT1G78980.1	C000001	462	duplicate
fgenesh2_kg.2__298__AT1G61590.1	C000001	462	duplicate
fgenesh2_kg.2__808__AT3G24550.1	C000001	462	duplicate
fgenesh2_kg.2__876__AT1G66460.1	C000001	462	duplicate
fgenesh2_kg.2__890__AT5G65600.1	C000001	462	duplicate
fgenesh2_kg.2__916__AT1G66930.1	C000001	462	duplicate
fgenesh2_kg.3__1008__AT3G09830.1	C000001	462	duplicate
fgenesh2_kg.3__1553__AT3G14350.1	C000001	462	duplicate
fgenesh2_kg.3__1918__AT3G17410.1	C000001	462	duplicate
fgenesh2_kg.3__1919__AT3G17420.1	C000001	462	duplicate
fgenesh2_kg.3__2240__AT3G20190.1	C000001	462	duplicate
fgenesh2_kg.3__224__AT3G02810.1	C000001	462	duplicate
fgenesh2_kg.3__2279__AT3G20530.1	C000001	462	duplicate
fgenesh2_kg.3__2385__AT3G21630.1	C000001	462	duplicate
fgenesh2_kg.3__2668__AT3G24550.1	C000001	462	duplicate
fgenesh2_kg.3__2746__AT1G27190.1	C000001	462	duplicate
fgenesh2_kg.3__2930__AT2G07040.1	C000001	462	duplicate
fgenesh2_kg.3__2982__AT2G11520.1	C000001	462	duplicate
fgenesh2_kg.3__3259__AT2G16750.1	C000001	462	duplicate
fgenesh2_kg.3__3306__AT2G17220.1	C000001	462	duplicate
fgenesh2_kg.3__498__AT3G05140.1	C000001	462	duplicate
fgenesh2_kg.3__871__AT3G08680.2	C000001	462	duplicate
fgenesh2_kg.4__1074__AT2G30940.1	C000001	462	duplicate
fgenesh2_kg.4__1173__AT2G31880.1	C000001	462	duplicate
fgenesh2_kg.4__1364__AT2G33580.1	C000001	462	duplicate
fgenesh2_kg.4__1990__AT2G39110.1	C000001	462	duplicate
fgenesh2_kg.4__2046__AT2G39660.1	C000001	462	duplicate
fgenesh2_kg.4__2345__AT2G41970.1	C000001	462	duplicate
fgenesh2_kg.4__2380__AT2G42290.1	C000001	462	duplicate
fgenesh2_kg.4__2489__AT2G43230.1	C000001	462	duplicate
fgenesh2_kg.4__2942__AT2G47060.2	C000001	462	duplicate
fgenesh2_kg.4__299__AT2G23770.1	C000001	462	duplicate
fgenesh2_kg.4__548__AT2G26290.1	C000001	462	duplicate
fgenesh2_kg.4__604__AT2G26730.1	C000001	462	duplicate
fgenesh2_kg.4__745__AT2G28250.2	C000001	462	duplicate
fgenesh2_kg.4__870__AT2G28930.1	C000001	462	duplicate
fgenesh2_kg.4__871__AT2G28940.2	C000001	462	duplicate
fgenesh2_kg.5__1037__AT3G46760.1	C000001	462	duplicate
fgenesh2_kg.5__1370__AT3G50230.1	C000001	462	duplicate
fgenesh2_kg.5__178__AT2G02800.1	C000001	462	duplicate
fgenesh2_kg.5__1964__AT3G55450.1	C000001	462	duplicate
fgenesh2_kg.5__22__AT2G01210.1	C000001	462	duplicate
fgenesh2_kg.5__2372__AT3G59110.1	C000001	462	duplicate
fgenesh2_kg.5__2392__AT3G59350.1	C000001	462	duplicate
fgenesh2_kg.5__474__AT3G26940.1	C000001	462	duplicate
fgenesh2_kg.6__142__AT5G02290.2	C000001	462	duplicate
fgenesh2_kg.6__190__AT5G02800.1	C000001	462	duplicate
fgenesh2_kg.6__2109__AT5G20690.1	C000001	462	duplicate
fgenesh2_kg.6__2190__AT5G22050.2	C000001	462	duplicate
fgenesh2_kg.6__2307__AT5G23170.1	C000001	462	duplicate
fgenesh2_kg.6__2829__AT5G60090.1	C000001	462	duplicate
fgenesh2_kg.6__2__AT5G01020.1	C000001	462	duplicate
fgenesh2_kg.6__3430__AT4G02630.1	C000001	462	duplicate
fgenesh2_kg.6__3459__AT4G02420.1	C000001	462	duplicate
fgenesh2_kg.7__1980__AT4G23150.1	C000001	462	duplicate
fgenesh2_kg.7__3036__AT5G35370.1	C000001	462	duplicate
fgenesh2_kg.7__3190__AT5G37790.1	C000001	462	duplicate
fgenesh2_kg.7__519__AT4G35600.1	C000001	462	duplicate
fgenesh2_kg.7__587__AT4G35030.2	C000001	462	duplicate
fgenesh2_kg.7__641__AT4G34500.1	C000001	462	duplicate
fgenesh2_kg.7__682__AT4G34220.1	C000001	462	duplicate
fgenesh2_kg.8__1585__AT5G56790.1	C000001	462	duplicate
fgenesh2_kg.8__1680__AT5G57670.2	C000001	462	duplicate
fgenesh2_kg.8__186__AT5G46080.1	C000001	462	duplicate
fgenesh2_kg.8__1962__AT5G60080.1	C000001	462	duplicate
fgenesh2_kg.8__1963__AT5G60090.1	C000001	462	duplicate
fgenesh2_kg.8__2603__AT5G65530.1	C000001	462	duplicate
fgenesh2_kg.8__2688__AT5G67280.1	C000001	462	duplicate
fgenesh2_kg.8__517__AT5G43020.1	C000001	462	duplicate
scaffold_100666.1	C000001	462	duplicate
scaffold_103175.1	C000001	462	duplicate
scaffold_104464.1	C000001	462	duplicate
scaffold_200552.1	C000001	462	duplicate
scaffold_201862.1	C000001	462	duplicate
scaffold_202855.1	C000001	462	duplicate
scaffold_300101.1	C000001	462	duplicate
scaffold_300236.1	C000001	462	duplicate
scaffold_301012.1	C000001	462	duplicate
scaffold_302227.1	C000001	462	duplicate
scaffold_303359.1	C000001	462	duplicate
scaffold_304326.1	C000001	462	duplicate
scaffold_401384.1	C000001	462	duplicate
scaffold_401569.1	C000001	462	duplicate
scaffold_500843.1	C000001	462	duplicate
scaffold_502259.1	C000001	462	duplicate
scaffold_502453.1	C000001	462	duplicate
scaffold_600256.1	C000001	462	duplicate
scaffold_600670.1	C000001	462	duplicate
scaffold_601325.1	C000001	462	duplicate
scaffold_601534.1	C000001	462	duplicate
scaffold_601605.1	C000001	462	duplicate
scaffold_601918.1	C000001	462	duplicate
scaffold_601967.1	C000001	462	duplicate
scaffold_604274.1	C000001	462	duplicate
scaffold_700363.1	C000001	462	duplicate
scaffold_701965.1	C000001	462	duplicate
scaffold_702155.1	C000001	462	duplicate
scaffold_802515.1	C000001	462	duplicate
Al_scaffold_0003_2708	C000001	462	duplicate
Al_scaffold_0006_2453	C000001	462	duplicate
fgenesh2_kg.1__2756__AT1G26150.1	C000001	462	duplicate
fgenesh2_kg.5__2217__AT3G57750.2	C000001	462	duplicate
fgenesh2_kg.5__2229__AT3G57830.1	C000001	462	duplicate
scaffold_101132.1	C000001	462	duplicate
scaffold_502733.1	C000001	462	duplicate
scaffold_502947.1	C000001	462	duplicate
scaffold_602484.1	C000001	462	duplicate
Al_scaffold_0006_2455	C000001	462	duplicate
Al_scaffold_0008_1286	C000001	462	duplicate
fgenesh1_pm.C_scaffold_3000742	C000001	462	duplicate
fgenesh1_pm.C_scaffold_6000018	C000001	462	duplicate
fgenesh1_pm.C_scaffold_6000889	C000001	462	duplicate
fgenesh2_kg.6__107__AT5G01060.1	C000001	462	duplicate
fgenesh2_kg.6__3016__AT4G10390.1	C000001	462	duplicate
fgenesh2_kg.7__1977__AT4G23210.2	C000001	462	duplicate
fgenesh2_kg.8__1918__AT5G59700.1	C000001	462	duplicate
Al_scaffold_0006_1972	C000001	462	duplicate
Al_scaffold_0006_3324	C000001	462	duplicate
fgenesh2_kg.1__4230__AT1G51620.1	C000001	462	duplicate
scaffold_501691.1	C000001	462	duplicate
scaffold_501928.1	C000001	462	duplicate
scaffold_502945.1	C000001	462	duplicate
scaffold_502946.1	C000001	462	duplicate
scaffold_503191.1	C000001	462	duplicate
scaffold_703693.1	C000001	462	duplicate
scaffold_802671.1	C000001	462	duplicate
fgenesh1_pm.C_scaffold_1002651	C000001	462	duplicate
fgenesh2_kg.3__879__AT3G08760.1	C000001	462	duplicate
fgenesh1_pm.C_scaffold_7000451	C000001	462	duplicate
fgenesh2_kg.1__2349__AT1G21590.1	C000001	462	duplicate
scaffold_200167.1	C000001	462	duplicate
scaffold_400670.1	C000001	462	duplicate
scaffold_401845.1	C000001	462	duplicate
fgenesh2_kg.8__1334__AT5G54380.1	C000001	462	duplicate
fgenesh2_kg.6__3633__AT4G00710.1	C000001	462	duplicate
fgenesh2_kg.7__3285__AT5G41260.1	C000001	462	duplicate
fgenesh2_kg.8__137__AT5G46570.1	C000001	462	duplicate
fgenesh2_kg.8__1845__AT5G59010.1	C000001	462	duplicate
fgenesh2_kg.5__90__AT2G01820.1	C000001	462	duplicate
scaffold_603005.1	C000001	462	duplicate
fgenesh1_pm.C_scaffold_8001742	C000001	462	duplicate
fgenesh2_kg.6__733__AT5G07620.1	C000001	462	duplicate
fgenesh2_kg.7__3253__AT5G41680.1	C000001	462	duplicate
fgenesh2_kg.3__3100__AT2G15300.1	C000001	462	duplicate
fgenesh2_kg.6__2400__AT5G24100.1	C000001	462	duplicate
fgenesh2_kg.8__2695__AT5G67200.1	C000001	462	duplicate
fgenesh2_kg.5__1791__AT3G54030.1	C000001	462	duplicate
scaffold_104844.1	C000001	462	duplicate
fgenesh2_kg.3__1468__AT3G13690.1	C000001	462	duplicate
fgenesh2_kg.2__2021__AT1G77280.1	C000001	462	duplicate
fgenesh2_kg.5__2216__AT3G57740.1	C000001	462	duplicate
fgenesh2_kg.6__1107__AT5G11400.1	C000001	462	duplicate
fgenesh2_kg.8__2057__AT5G60900.1	C000001	462	duplicate
fgenesh2_kg.5__2215__AT3G57730.1	C000001	462	duplicate
fgenesh2_kg.2__847__AT1G66150.1	C000001	462	duplicate
fgenesh2_kg.1__3539__AT1G34300.1	C000001	462	duplicate
fgenesh2_kg.2__1278__AT1G70250.1	C000001	462	duplicate
fgenesh2_kg.3__2591__AT3G23750.1	C000001	462	duplicate
Al_scaffold_0003_1329	C000001	462	duplicate
fgenesh2_kg.3__3629__AT2G20850.1	C000001	462	duplicate
fgenesh2_kg.6__3359__AT4G03390.1	C000001	462	duplicate
scaffold_101201.1	C000001	462	duplicate
fgenesh2_kg.5__2147__AT3G57120.1	C000001	462	duplicate
Al_scaffold_0008_2393	C000001	462	duplicate
fgenesh1_pg.C_scaffold_5000813	C000001	462	duplicate
fgenesh1_pm.C_scaffold_7000823	C000001	462	duplicate
scaffold_200980.1	C000001	462	duplicate
fgenesh2_kg.3__1002__AT3G09780.1	C000001	462	duplicate
fgenesh2_kg.8__218__AT5G45800.1	C000001	462	duplicate
scaffold_200665.1	C000001	462	duplicate
fgenesh1_pg.C_scaffold_2001228	C000001	462	duplicate
fgenesh1_pg.C_scaffold_3003089	C000001	462	duplicate
fgenesh2_kg.3__3300__AT2G17170.1	C000001	462	duplicate
fgenesh1_pm.C_scaffold_1001571	C000001	462	duplicate
fgenesh1_pm.C_scaffold_2000515	C000001	462	duplicate
fgenesh2_kg.5__2206__AT3G57640.1	C000001	462	duplicate
fgenesh2_kg.5__2219__AT3G57760.1	C000001	462	duplicate
fgenesh2_kg.4__2912__AT2G46850.1	C000001	462	duplicate
scaffold_403031.1	C000001	462	duplicate
fgenesh2_kg.3__32__AT3G01840.1	C000001	462	duplicate
Al_scaffold_0001_3306	C000002	215	duplicate
Al_scaffold_0003_1295	C000002	215	duplicate
Al_scaffold_0004_1399	C000002	215	duplicate
Al_scaffold_0005_1732	C000002	215	duplicate
Al_scaffold_0005_3241	C000002	215	duplicate
Al_scaffold_0005_420	C000002	215	duplicate
fgenesh1_pg.C_scaffold_1001789	C000002	215	duplicate
fgenesh1_pg.C_scaffold_1002976	C000002	215	duplicate
fgenesh1_pg.C_scaffold_1004429	C000002	215	duplicate
fgenesh1_pg.C_scaffold_2000255	C000002	215	duplicate
